Experience,Control (s),Control std,Tracing (s),Tracing std,Profiling (s),Profiling std,Tracing and profiling (s),Tracing and profiling std,LTTng (s),LTTng std,Overhead w/ tracing (%),Overhead w/ profiling (%),Overhead w/ LTTng (%),Overhead w/ both (%)
nw,0.3171,0.005585,0.4115,0.003612,0.4385,0.012452,0.5584,0.007046,0.3392,0.004214,29.77,38.284,6.969,76.096
gaussian,0.2841,0.013117,0.3764,0.007717,0.3583,0.011305,0.4274,0.003891,0.3077,0.004244,32.489,26.118,8.307,50.44
b+tree,1.2985,0.013833,1.3839,0.022969,1.3725,0.011408,1.431,0.021315,1.3084,0.020356,6.577,5.699,0.762,10.204
hybridsort,15.5627,0.050138,15.6883,0.009954,15.7258,0.011356,15.7682,0.015088,15.5632,0.049056,0.807,1.048,0.003,1.32
backprop,0.309,0.010826,0.4007,0.004326,0.384,0.007256,0.4493,0.005752,0.3309,0.003506,29.676,24.272,7.087,45.405
streamcluster,6.0931,0.075319,6.795,0.039726,7.9247,0.076811,9.6998,0.054506,6.1159,0.091798,11.52,30.06,0.374,59.193
kmeans,0.2861,0.012396,0.3759,0.005522,0.3605,0.008078,0.4309,0.005886,0.3073,0.00374,31.388,26.005,7.41,50.612
nn,0.2935,0.006925,0.3838,0.007496,0.3682,0.01103,0.4315,0.00744,0.3159,0.003953,30.767,25.451,7.632,47.019
heartwall,0.6968,0.013508,0.7908,0.005288,0.7799,0.007984,0.8488,0.004816,0.72,0.002941,13.49,11.926,3.33,21.814
dwt2d,0.2818,0.015933,0.3744,0.008278,0.3679,0.00722,0.4364,0.009195,0.3061,0.003788,32.86,30.554,8.623,54.862
lud,0.288,0.010835,0.3782,0.006061,0.3699,0.005957,0.4463,0.007552,0.3137,0.003621,31.319,28.438,8.924,54.965
pathfinder,0.4657,0.009193,0.5531,0.002907,0.5425,0.009282,0.6034,0.004884,0.4914,0.00616,18.767,16.491,5.519,29.568
srad,0.3368,0.014518,0.4517,0.003378,0.5239,0.01097,0.7097,0.010756,0.3487,0.004161,34.115,55.552,3.533,110.719
bfs,0.2881,0.012576,0.3787,0.007376,0.3605,0.005895,0.4377,0.006427,0.2966,0.002707,31.447,25.13,2.95,51.926
lavaMD,0.5379,0.014806,0.6225,0.004924,0.6132,0.021616,0.676,0.008958,0.5462,0.003665,15.728,13.999,1.543,25.674
cfd,1.7628,0.033883,1.9984,0.024559,5.1315,0.091278,8.8559,0.120518,1.7436,0.028317,13.365,191.099,-1.089,402.377
particlefilter,0.303,0.012233,0.3966,0.008901,0.3785,0.007547,0.4291,0.026199,0.3253,0.003835,30.891,24.917,7.36,41.617
hotspot,0.5151,0.013585,0.5921,0.004805,0.5584,0.00889,0.6476,0.017537,0.5433,0.003551,14.949,8.406,5.475,25.723
